Nr projektu;Lokalizacja projektu;Nazwa osiedla;Kategoria projektu;Suma kosztów;Wszystkie opinie;Nazwa projektu
382;ulica Wojanowska, obrêb Stab³owice, AM-17, dzia³ki: 56/4, 56/5, 58/11 i 58/12;Leœnica;zieleñ/rekreacja;761500;Nie;Promenada Stab³owicka – lokalne miejsce spotkañ przy ulicy Wojanowskiej
383;Nadodrze;Nadodrze;piesze/rowerowe;500000;Tak;Remont chodników na Nadodrzu
384;Aleja Ludomira Ró¿yckiego 1a 51-608 Wroc³aw nr geodezyjny dzia³ki AM 13 nr 22 obrêb Zalesie;Zacisze-Zalesie-Szczytniki;edukacja;245864;Tak;"Modernizacja ogrodzenia wokó³ Przedszkola nr 47 ""Leœny Ludek"""
385;Plac Legionów – Dworzec G³ówny – ul. Pu³askiego – ul. Swobodna;Przedmieœcie Œwidnickie;piesze/rowerowe;62500;Tak;Bezpiecznie na rowerze: Plac Legionów – Dworzec G³ówny – ul. Pu³askiego – ul. Swobodna
386;ul. Wêdkarzy 1a, AR_27, 23/6 Rêdzin;Osobowice - Rêdzin;zieleñ/rekreacja;250000;Nie;Budowa placu zabaw i boiska sportowego na osiedlu Rêdzin
387;ul. Agrestowa;Krzyki-Partynice;drogowe;340000;Tak;Wymiana nawierzchni na ulicy Agrestowej
388;ul. Obornicka (od Bezpiecznej do Ba³tyckiej);Kar³owice-Ró¿anka;drogowe;100000;Tak;Uspokojenie ruchu na ul. Obornickiej
389;ul. Szmaragdowa, ul. Nefrytowa;O³taszyn;drogowe;60000;Tak;Progi spowalniaj¹ce na ul. Szmaragdowej i ul. Nefrytowej
390;Borek, AR_6, 14;Borek;drogowe;36000;Nie;Progi zwalniaj¹ce na ulicy Orlej, Krzyki, Borek
391;Borek, AR_6, 14;Borek;drogowe;36000;Tak;Progi zwalniaj¹ce na ulicy Orlej, Krzyki, Borek
392;PODWÓRKO U ZBIEGU UL.NYSKIEJ, JESIONOWEJ I PACZKOWSKIEJ.;Tarnogaj;drogowe;180000;Tak;NAPRAWA DROGI WEWNÊTRZNEJ OSIEDLOWEJ
393;Ga³owska 12;Jerzmanowo - Jarno³tów -Strachowice - Osiniec;sport;1999100;Nie;"""Zachodni Oœrodek Sportu"" Budowa kompleksu dwóch boisk do pi³ki no¿nej oraz budynku z zapleczem sanitarno-szatniowym na osiedlu Jerzmanowo."
394;Skrzy¿owanie ulic Rac³awickiej, Gajowickiej i Orlej;Borek;drogowe;15000;Tak;Bezpieczna droga dla przedszkolaka
395;Ratyñ, AR_7, 51/2;Leœnica;place zabaw;150000;Nie;Weso³e Pustki
396;"Ratyñ, AR_4, 95/1
Ratyñ, AR_7, 51/2";Leœnica;zieleñ/rekreacja;800000;Nie;Boisko i plac zabaw na osiedlu Pustki
397;Ul. Orla 5/7, dzia³ka nr 64, AM 6, obrêb Borek ;Borek;edukacja;495000;Nie;"""Ogród z Fantazj¹"" -nowy plac zabaw przy Przedszkolu nr 28 Fantazja "
398;Ul.Osiniecka Wroc³aw AM 32 dz.nr 7/1;¯erniki ;sport;40000;Tak;Osiedle na Sportowo
399;Zachodnia czêœc Wroc³awia: Leœnica , Z³otniki, Stab³owice, Marszowice,  ;Leœnica;inne;1500000;Nie;Monitoring wizyjny  zachodniej  czêœci Wroc³awia   /Leœnica, Stab³owice, Z³otniki, Marszowice /  
400;"Ul. Popielskiego i ul. Gliwicka, 52-013 Wroc³aw Ksiê¿e Ma³e/Wielkie
ul. Popielskiego AR_4, 19/2, 
ul. Gliwicka AR_7,23 
ul. Popielskiego/Gliwicka AR_7, 35/3
";Ksiê¿e;drogowe;379000;Tak;"""KSIÊ¯E MA£E - Bezpieczna droga maluchów do Przedszkola „Ma³y Ksi¹¿e” przy ul. Chorzowskiej  – budowa 80 mb ulicy Popielskiego wraz z budow¹ 180 mb chodnika wraz z oœwietleniem"""
401;"al. Na Niskich £akach 8, Stadion O³awka
Po³udnie, Numer arkusza mapy: 12, Numer dzia³ki: 11. Al. Na
Niskich £¹kach 8";Przedmieœcie O³awskie;sport;150000;Tak;Poprawa infrastruktury treningowej dla dyscyplin baseball i softball
402;"Podwórze ograniczone ulicami: Sienkiewicza, Roentgena, Grunwaldzka i Minkowskiego; nr dzia³ki: 82/3, AM 29, obrêb: Plac Grunwaldzki; pow. 0,4025; jedn.rej. G.2590";Plac Grunwaldzki;rewitalizacja;149000;Tak;Projekt zagospodarowania , rewitalizacji i odtworzenia funkcji u¿ytkowych podwórza.
403;Ul. Rac³awicka 62, Dane geodezyjne: Obrêb Borek, Arkusz 6, Dzia³ka nr 3/10;Borek;zieleñ/rekreacja;200000;Tak;Basen na po³udniu – reaktywacja odkrytego k¹pieliska przy ul. Rac³awickiej 62 dla mieszkañców Wroc³awia
404;"AR-2,18; AR-4,10; ";O³taszyn;inne;84000;Tak;Poprawa bezpieczeñstwa w obszarze ul. Motylkowej poprzez budowê oœwietlenia ulicznego
405;"Ksiê¿e Ma³e AM-7 nr 36 Górnoœl¹ska
Ksiê¿e Ma³e AM-7 nr 23 Gliwicka
Ksiê¿e Ma³e AM-7 nr 22 Hajducka
Ksiê¿e Wielkie AM-6 nr 86 Popielskiego siêgacz
Brochów AM-4 nr 19/2 Popielskiego g³ówna";Ksiê¿e;drogowe;1988550;Tak;POPIELANY droga prosta - infrastruktura ulicy Leona Popielskiego i okolic - obrêb Ksiê¿e Wielkie, Ksiê¿e Ma³e i Brochów
406;"S.P. nr 74 (AR 5 nr dz. 1,11,15) Podwórko AR3, nr dz. 1/4; AR4, nr dz. 22/2,3;  23/3,4,5,6,7;  24/1,2; 26/1,3,5, 7,8,10,12,14,16,18,20,22,24,31,33,37,38,39,40,42,44,45,49,52,54;";Kleczków;inne;68798;Nie;Monitoring Dwóch Boisk przy Kleczkowskiej tj. boiska przy Szkole Podstawowej nr 74 we Wroc³awiu i boiska we wnêtrzu miêdzyblokowym wyznaczonym ul. Kleczkowsk¹-Siemiñskiego-Kraszewskiego-Trzebnick¹
407;"Wojszyce AR-4,110; Ar-2, 34; O³taszyn AR-4,21";Wojszyce;drogowe;640160;Tak;Utwardzenie drogi ul. Œwit 
408;"ul. Orzechowa 62a lub alternatywnie: ul. Orzechowa 108
1/23 lub alternatywnie:1/13, w którymkolwiek miejscu na tych dzia³kach, projekt zajmuje ma³o przestrzeni";Gaj;sport;150000;Tak;Przystosowanie boiska do celów treningowych dla dyscyplin baseball/softball
409;Nazwa obrêbu: Zakrzów, Numer arkusza mapy: 11, Numer dzia³ki: 2/4. Al. Niepodleg³oœci 6;Psie Pole-Zawidawie;sport;500000;Nie;Field of Dream - Budowa boiska Baseballowego
410;Ksiê¿e Wielkie AM-6 dz. nr 86 - Leona Popielskiego;Ksiê¿e;drogowe;149400;Tak;POPIELANY plan minimum – oœwietlenie siêgaczy osiedlowych ulicy Leona Popielskiego - obrêb Ksiê¿e Wielkie
411;"AR 3, nr dz. 1/4; AR 4, nr dz. 22/2,3; 23/3,4,5,6,7; 24/1,2; 26/1,2,3,5,7,8,10,12,14,16,18,20,22,24,31,33,37,38,39,40,42,44,45,49,52,54";Kleczków;rewitalizacja;500000;Tak;Remont i dozielenienie podwórka Kleczkowska-Siemiñskiego-Kraszewskiego-Trzebnicka
412;Marszowice AR 13, 6;Leœnica;zieleñ/rekreacja;500000;Nie;Malownicza Wyspa
413;Skrzy¿owanie ulic GwiaŸdzistej i Szczêœliwej wraz z ich odcinkami przy Sky Tower.;Gajowice ;drogowe;100000;Tak;Wygodne otoczenie Sky Tower i DCO
414;"AR_21, 5/2
plac po³o¿ony przy Oœrodku Centrum Edukacji Spo³ecznej przy ul. Koreañskiej 1A";Brochów ;zieleñ/rekreacja;498920;Nie;"""zGRAJmy Brochów""-  plac zabaw ze scen¹ plenerow¹."
415;rondo Regana;Plac Grunwaldzki;zieleñ/rekreacja;50000;Tak;ZIELONA ENKLAWA - RONDO REGANA
416;Droga wzd³u¿ nasypu kolejowego i obok pêtli tramwajowej, dzia³ki m.in.: Krzyki, AR_3, 1/1, Borek, AR_6, 2, Krzyki, AR_2, 2/2, Krzyki, AR_6, 13;Krzyki-Partynice, Borek;piesze/rowerowe;460000;Tak;Ci¹g pieszo - rowerowy pod nasypem kolejowym wzd³u¿ ul. Wawrzyniaka, od ul. Karkonoskiej do ul. Rac³awickiej
417;9/2 Ksiê¿e Ma³e AR 1, 38 Ksiê¿e Ma³e AR 5, 8/1 Ksiê¿e Ma³e AR 6;Ksiê¿e;piesze/rowerowe;350000;Tak;Przebudowa i budowa ci¹gu pieszo-rowerowego  wzd³u¿ ulicy Opolskiej do Parku Wschodniego
418;Ul. Grabiszyñska, odcinek miêdzy pl. Legionów a ul. Zaporosk¹;Przedmieœcie Œwidnickie;drogowe;912000;Nie;Aleja Grabiszyñska. Przejœcie dla pieszych przy ul. Kolejowej
419;Stare Miasto, AR_28, 12/1 lub Stare Miasto, AR_28, 13/4 lub Stare Miasto, AR_28, 9/2;Stare Miasto;zieleñ/rekreacja;22500;Nie;Stoliki szachowe/warcabowe na Bulwarze Marii i Lecha Kaczyñskich lub Bulwarze X. Dunikowskiego nad Odr¹
420;skrzy¿owanie ul. D³ugosza i Czajkowskiego, dzia³ka nr 21;Kar³owice-Ró¿anka;place zabaw;149750;Tak;Plac zabaw i ³awki w parku u zbiegu ulic Krzywoustego, D³ugosza i Czajkowskiego
421;Plac Grunwaldzki, AR_26, 12;Stare Miasto;inne;450000;Tak;Toalety automatyczne dla Wyspy S³odowej
422;"Teren na po³udnie od Stadionu Miejskiego pomiêdzy rzek¹ Œlêz¹ i torowiskiem tramwajowym; numer dzia³ki
026401_1.0027.AR_1.13/1 (patrz za³¹cznik).";Pilczyce-Kozanów-Popowice P³n.;zieleñ/rekreacja;500000;Tak;Skateplaza przy Stadionie Miejskim we Wroc³awiu
423;Miasto Wroc³aw;Wroc³aw;inne;2000000;Nie;Obrona Cywilna
424;"ul. Piêkna 56j
Tarnogaj, AR_2, 4/11";Tarnogaj;zieleñ/rekreacja;490200;Nie;Wypocznij przy Piêknej
425;Wroc³aw, ul. Jeleniogórska, droga dojazdowa do posesji nr 116 oraz warsztatu lakierniczego;Leœnica;drogowe;150000;Tak;UTWARDZENIE DROGI KOSTK¥ BRUKOW¥ BETONOW¥
426;Maœlice, AR_13, 19;Maœlice;drogowe;3000;Tak;Próg zwalniaj¹cy na Potokowej
427;Pilczyce, Arkusz 14 , 9/33 i wiele innych ;Pilczyce-Kozanów-Popowice P³n.;zieleñ/rekreacja;2000000;Nie;BIO Park Doliny Œlêzy: ekologia, rekreacja i zielone s¹siedztwo.
428;ul. Bogedaina, Tarnogaj, AR_6, 1/5;Tarnogaj;zieleñ/rekreacja;100000;Nie;Zielony Tarnogaj - Park przy ulicy Bogedaina - uporz¹dkowanie terenu
429;Obrêb G¹dów Ma³y, AM-3, Dzia³ka 5/350 - ul. Ludwika Idzikowskiego;G¹dów-Popowice P³d. ;drogowe;87800;Tak;BUDOWA 21 MIEJSC PARKINGOWYCH WZD£U¯ ULICY LUDWIKA IDZIKOWSKIEGO WE WROC£AWIU
430;Pilczyce, Arkusz 14 , 9/33;Pilczyce-Kozanów-Popowice P³n.;zieleñ/rekreacja;500000;Nie;Projekt poprawy walorow rekreacyjnych wokol Stawu Pilczyckiego - budowa œcie¿ki 
431;Pilczyce, Arkusz 14 , 9/33;Pilczyce-Kozanów-Popowice P³n.;zieleñ/rekreacja;150000;Nie;Projekt poprawy atrakcyjnoœci przyrodniczo rekreacyjnych obszarów leœnych przy Stawie Pilczyckim
432;Wroc³aw Osobowice, ul. Jarociñska, dz. numer 1/2 AM 21 obrêb Osobowice;Osobowice - Rêdzin;piesze/rowerowe;120000;Tak;Brakuj¹cy element - budowa ci¹gu pieszo-rowerowego
433;ul. Z³otostocka, AM-7 dz. 51/14;Tarnogaj;place zabaw;149600;Tak;Modernizacja placu zabaw przy ul. Z³otostockiej na osiedlu Tarnogaj
434;Dzia³ki numer: 18/48, 18/25, 18/39, 18/41, 18/54, 18/13, 18/27, 18/23, 18/2, 18/52, 18/34, 18/37, 18/30, 18/29, 18/18, 18/16, 18/15, 18/57B, 18/9, 18/32D, 18/11, 18/56B, 18/22, 18/7, 18/45B, 17/1;Kleczków;rewitalizacja;499000;Nie;Rewitalizacja terenu podwórka w kwartale zabudowy pomiêdzy ulicami: Siemieñskiego, Kraszewskiego, Zegad³owicza i Kleczkowsk¹.
435;Dzia³ki numer: 18/48, 18/25, 18/39, 18/41, 18/54, 18/13, 18/27, 18/23, 18/2, 18/52, 18/34, 18/37, 18/30, 18/29, 18/18, 18/16, 18/15, 18/57B, 18/9, 18/32D, 18/11, 18/56B, 18/22, 18/7, 18/45B, 17/1;Kleczków;piesze/rowerowe;150000;Tak;Remont nawierzchni chodnika wokó³ kwarta³u zabudowy pomiêdzy ulicami: Siemieñskiego, Kraszewskiego, Zegad³owicza i Kleczkowsk¹ 
436;ul. Koniñska/Ry¿owa -ul.  Przednia ( obrêb ¯erniki );¯erniki ;piesze/rowerowe;2000000;Tak;Budowa k³adki pieszo - rowerowej nad lini¹ kolejow¹ E-30 Wroc³aw - Legnica
437;ul. Tarnogajska, przy przystanku autobusowym nr 21150;Tarnogaj;drogowe;10000;Tak;"""Zatoczka"" autobusowa przy ul. Tarnogajskiej"
438;"Pilczyce, AR_13 :  27,  28/8 ;   Pilczyce, AR_13, 27";Pilczyce-Kozanów-Popowice P³n.;zieleñ/rekreacja;150000;Nie;Projekt poprawy walorów rekracyjnych skweru przy ulicy m¹cznej i innych  obszarów na terenie Pilczyc
439;"Obrêb Osobowice
AR_15, dz. 5/1, 6/4, 7/1, 9/3
ul. Osobowicka";Osobowice - Rêdzin;piesze/rowerowe;130000;Tak;Chodnik do lasu
440;Dzia³ki numer: 18/48, 18/25, 18/39, 18/41, 18/54, 18/13, 18/27, 18/23, 18/2, 18/52, 18/34, 18/37, 18/30, 18/29, 18/18, 18/16, 18/15, 18/57B, 18/9, 18/32D, 18/11, 18/56B, 18/22, 18/7, 18/45B, 17/1;Kleczków;rewitalizacja;499000;Tak;Rewitalizacja terenu podwórka w kwartale zabudowy pomiêdzy ulicami: Siemieñskiego, Kraszewskiego, Zegad³owicza i Kleczkowsk¹
441;" ul Mi³oszycka 23-25 
51-502 Wroc³aw
numer geodezyjny dzia³ki:  AR_17  NR dzia³ki 58
";Strachocin-Swojczyce-Wojnów;sport;149840;Nie;"mini boisko ""Kangurek"""
442;"Okolice stadionu MOSiR ul. Lotnicza, pomiêdzy ulicami Metalowców, a Idzikowskiego.
Dzia³ki:  
G¹dów Ma³y, AR_3, 4/16;
G¹dów Ma³y, AR_3, 4/17;  
G¹dów Ma³y, AR_3, 5/352; 
G¹dów Ma³y, AR_3, 5/350";G¹dów-Popowice P³d. ;rewitalizacja;1497062;Nie;Budowa strefy sportów miejskich  pomiêdzy ul. Idzikowskiego – Metalowców w okolicach stadionu MOSiR (G¹dów Ma³y) - sk³adaj¹cej siê z 2 boisk wielofunkcyjnych, œcianek, placu zabaw, si³ownia zewn.
443;"Po³udnie, AR_12,15 ; Po³udnie, AR_12,12 lub AR_12,11";Przedmieœcie O³awskie;zieleñ/rekreacja;69700;Nie;Ca³oroczna rekreacja na Niskich £¹kach
444;Borek, AR_1, 57;Borek;zieleñ/rekreacja;83000;Nie;Rewitalizacja skweru przy ul. Wolbromskiej wraz z budow¹ placu zabaw dla dzieci.
445;"Krzyki-Partynice, Borek. Wzd³u¿ nasypu kolejowego (strona zachodnia) i obok pêtli tramwajowej, od ulicy Rac³awickiej do alei Karkonoskiej, dzia³ki m.in: Krzyki, AR_2,2/1, Krzyki, AR_2, 2/2, Krzyki, AR_3, 1/1, Krzyki, AR_6,1; Krzyki,AR_6,13; Krzyki,AR_6,12/6; Krzyki, AR_6,12/5.";Borek, Krzyki-Partynice;zieleñ/rekreacja;679800;Nie;Parkowy ³¹cznik pomiêdzy Parkiem Grabiszyñskim a Parkiem Po³udniowym – pilota¿owy odcinek przysz³ej Wroc³awskiej Sieci Zieleni.
446;"11 AM 7 obrêb Jagodno; 3/5 AM 7 obrêb Jagodno";Jagodno;piesze/rowerowe;149622;Tak;Poprawa bezpieczeñstwa na ul. Sarniej poprzez budowê chodnika i poszerzenie jezdni w pocz¹tkowym przebiegu ulicy.
447;21/13, 21/11, 21/9, 21/7, 21/2, 21/1 AM7 obrêb Jagodno (od Wspólnoty Mieszkaniowej Wiosna do wjazdu na osiedle maestro);Jagodno;drogowe;20000;Tak;Zwiêkszenie liczby miejsc postojowych w ci¹gu ul. Vivaldiego
448;"Ul. Opolska, 52-010 Wroc³aw Ksiê¿e Ma³e/Wielkie
ul. Krakowska  AR_1, 9/2, 
ul. Opolska AR_5,38, AR_6, 8/1, AR_6, 45, AR_7,1, AR_9,1";Ksiê¿e;piesze/rowerowe;1295800;Tak;"""KSIÊ¯E MA£E/WIELKIE- Bezpiecznie  rowerem przez Ulicê Opolsk¹ – budowa i modernizacja ci¹gów komunikacyjnych (po stronie pó³nocnej) wzd³u¿ ul. Opolskiej  celem udostêpnienia ich dla ruchu rowerowego"""
449;"ul. Zieliñskiego, nr dz. 026401_1.0022.AR_14.12/2, obrêb Po³udnie
(dawna ul. Zau³ek Browarny)";Przedmieœcie Œwidnickie, Powstañców Œl¹skich;inne;100000;Tak;Budowa oœwietlenia ulicznego ulicy Zau³ek Browarny
450;ul. Hutnicza 45 Wroc³aw, Pilczyce AR 17.9;Pilczyce-Kozanów-Popowice P³n.;edukacja;450000;Nie;Projekt rozbudowy kompleksu sportowego otwartego dla mieszkañców
451;Teren Przedszkola nr 62 Stumilowy Las, ul. Stab³owicka 97 we Wroc³awiu. Numer geodezyjny dzia³ki: 10/7 AM 4 o powierzchni 5122 m2.;Leœnica;edukacja;150000;Tak;Zabawowo, kolorowo na nowo
452;ul. Vivaldiego od Beethovena do Schuberta oraz Schuberta od skrzy¿owania z Vivaldiego do istniej¹cej kostki brukowej.;Jagodno;drogowe;67500;Tak;Budowa betonowej nawierzchni tymczasowej w ci¹gu ul. Vivaldiego  i Schuberta
453;Wroc³aw, Sêpolno, ul. Andrzeja Potebni na ca³ej d³ugoœci od ul. Edwarda Dembowskiego do ul. Partyzantów;Biskupin-Sêpolno-D¹bie-Bartoszowice;piesze/rowerowe;105600;Tak;Przywrócenie pieszym chodników Sêpolna - etap 1
454;ul.na niskich ³¹kach 1-9 obrêb po³udnie dzia³ka 7/5 i 8/2 arkusz AR_21;Przedmieœcie O³awskie;zieleñ/rekreacja;2000000;Tak;pla¿a
455;ca³e miasto;Wroc³aw;inne;149500;Nie;Aplikacja do œledzenia i partycypacji w tworzeniu Miejscowych Planów Zagospodarowania Przestrzennego i zmian do Studium Uwarunkowañ i Kierunków Zagospodarowania Przestrzennego we Wroc³awiu
456;Pl.Katedralny;Stare Miasto;inne;95000;Nie;Oœwietlenie Kolumny Chrystusa Króla
457;Grabiszyn, AR_40, 4/1, 5/1,6/1;Grabiszyn-Grabiszynek;zieleñ/rekreacja;500000;Tak;Park dla Psów PSI GAJ
458;promenada staromiejska dzia³ka 15/5 obrêb stare miasto arkusz AR_6;Stare Miasto;rewitalizacja;650000;Tak;skarpa fosa miejska
459;ulica O³taszyñska na odcinku Malinowa-Wojszycka;Krzyki-Partynice;drogowe;15500;Tak;Progi zwalniaj¹ce na ul. O³taszyñskiej / na odcinku Malinowa-Wojszycka/
460;ul. Vivaldiego/Schuberta, Wroc³aw;Jagodno;inne;421000;Nie;Budowa peronu kolejowego Wroc³aw Jagodno wraz z chodnikiem stanowi¹cym drogê dojœcia do peronu
461;Dzia³ki gminne przy ul. Tatarakowej ;Strachocin-Swojczyce-Wojnów;inne;500000;Nie;"Budowa placu - lokalnego ""ryneczku"" przy ul. Tatarakowej wraz z niezbêdn¹ infrastruktur¹. "
462;Po³udnie, AR_12,12;Przedmieœcie O³awskie;zieleñ/rekreacja;150000;Nie;Park dla Psów PSIA £¥KA
463;Stab³owice, AR_3, 7/1 i Stab³owice, AR_3, 15;Leœnica;drogowe;460000;Tak;RONDO na skrzy¿owaniu ulic G³ównej i Stab³owickiej
464;Wyspa S³odowa;Stare Miasto;zieleñ/rekreacja;2000000;Tak;Rewitalizacja i modernizacja Wyspy S³odowej. Utwardzenie czêœci nawierzchni, wydeptanych trawników, zwiêkszenie iloœci mebli miejskich - ³awek, siedzisk, stopni, zarówno wewn¹trz wyspy jak nabrze¿y.
465;Bulwar S³oneczny we Wroc³awiu ;Nadodrze;zieleñ/rekreacja;50000;Nie;Wystawa prac Józefa Ha³asa w formie wielkoformatowych planszy na bulwarze S³onecznym  .
466;Wroc³aw ul. Zawalna dzia³ka nr 80;Kar³owice-Ró¿anka;drogowe;400000;Tak;Budowa drogi docelowej wraz z odwodnieniem i oœwietleniem
467;Brochów, AR_15, 3;Brochów ;place zabaw;25000;Tak;Rozbudowa placu zabaw w Brochowskim parku.
468;ul.Traugutta 102-106 oficyna dzia³ka 37/27 obrêb  po³udnie arkusz AR_6;Przedmieœcie O³awskie;inne;2000000;Tak;Otwarte centrum kultury Trójk¹t
469;KOSYNIERÓW GDYÑSKICH dzia³ka: 026401_1.0006.AR_3.204 SKWER POWSTAÑCÓW WARSZAWSKICH;Biskupin-Sêpolno-D¹bie-Bartoszowice;zieleñ/rekreacja;96000;Tak;Renowacja muszli koncertowej oraz widowni na osiedlu Sêpolno.
470;Bulwar S³oneczny we Wroc³awiu ;Nadodrze;inne;150000;Nie;Rewitalizacja bulwaru S³onecznego we Wroc³awiu - I etap - organizacja konkursu na projekt zagospodarowania terenu bulwaru. 
471;Maœlice, AR_7, 47;Maœlice;zieleñ/rekreacja;111000;Nie;Plac zabaw 
472;Wroc³aw, ul. E³cka -plac, dzia³ka jest w³asnoœci¹ miasta.;Kowale;zieleñ/rekreacja;140000;Nie;zagospodarowanie placu przy ul. E³ckiej 36 we Wroc³awiu
473;ul Tadeusza Koœciuszki 177 A dzia³ka 29 obrêb po³udnie arkusz AR_10;Przedmieœcie O³awskie;inne;2000000;Nie;KINOTÊCZA
474;"Popowice, AR_2, 1
G¹dów Ma³y, AR_3, 26/49
Zalesie, AR_14, 14/2
Po³udnie, AR_26, 2/5
Plac Grunwaldzki, AR_12, 4/5 , AR_23, 63/3
Stare Miasto, AR_28, 9/1
Biskupin, AR_7, 92
Zalesie, AR_1, 3/7
";Wroc³aw;inne;100000;Nie;Graffiti na szkle
475;AR30,3 W³asnoœæ Skarbu Pañstwa w zarz¹dzie, u¿ytkowaniu;Plac Grunwaldzki;piesze/rowerowe;50000;Tak;Reorganizacja ruchu w ci¹gu pieszo-rowerowym przy Moœcie Szczytnickim
476;skrzy¿owanie ulicy Kwiatkowskiego z Zabrodzk¹;Klecina;piesze/rowerowe;8800;Tak;Budowa przejœcia dla pieszych na ulicy Kwiatkowskiego, skrzy¿owanie z ulic¹ Zabrodzk¹ (z ewentualnym ograniczeniem prêdkoœci)
477;Dzia³ka Krzyki, AR_9, 22/4 ;Krzyki-Partynice;zieleñ/rekreacja;140300;Nie;KRZYKI - AKTYWNIE, BEZPIECZNIE, SZCZÊŒLIWIE. OGRÓD REKREACJI I ZABAW DLA DZIECI, RODZICÓW I DZIADKÓW
478;"Wroc³aw, ul. Nowodworska 70-82,  
026401_1.0039.AR_9.9/1
Jednostka ewidencyjna: 026401-1, M. Wroc³aw
Obrêb: 0039 – Nowy Dwór
Arkusz mapy: 9
Nr dzia³ki geodezyjnej: 9/1";Nowy Dwór ;zieleñ/rekreacja;993636;Tak;Nowodworska Strefa Integracji- miejsce spotkañ bez barier
479;Park Skowroni Wroc³aw - Krzyki dzia³ka Gaj, AR_7, 2  i  Po³udnie, AR_38, 29;Gaj, Borek, granice wroc³awskich osiedli;zieleñ/rekreacja;2000000;Tak;Utwardzenie œcie¿ek w Parku Skowronim
480;"skwer Ludzi ze Znakiem ""P""; Obrêb Plac Grunwaldzki, AR_8, dzia³ki nr 31, ";O³bin;zieleñ/rekreacja;468000;Tak;Zielona Trasa Œródmiejska - Skwer Ludzi ze Znakiem “P”
481;Do konsultacji z ornitologami na temat tego w jakich miejscach najlepiej umieœciæ takie budki;Wroc³aw;inne;150000;Nie;1000 budek dla jerzyków, które ¿ywi¹ siê m.in. komarami i muszkami oraz hotele dla zapylaczy
482;ul. Lipska, Osobowice AR_16, 1/46;Osobowice - Rêdzin;zieleñ/rekreacja;500000;Nie;Rowerowy plac zabaw
483;9/14, 9/30 ? LOTNICZA 143 - 147;Pilczyce-Kozanów-Popowice P³n.;drogowe;60000;Tak;£¥CZNIK WYJAZDOWY.
484;5/6 Papiernicza - ekrany akustyczne.;Pilczyce-Kozanów-Popowice P³n.;zieleñ/rekreacja;4000;Nie;POSADZENIE DRZEWEK = DZIURA AKUSTYCZNA.
485;"ul. G³ówna/ ul Stab³owicka/ ul. Górecka
obrêb Stab³owice, AM-8, dzia³ki: 3/29, 2/4, 2/5, 3/9, 3/10, 3/17, 3/18, 3/30
";Leœnica;zieleñ/rekreacja;500000;Nie;NOWA CEGIELNIA STAB£OWICKA – Niech zab³ysn¹ latarnie
486;ul. Komandorska, skrzy¿owanie z ul. Pabianick¹ i Radosn¹ ;Powstañców Œl¹skich;piesze/rowerowe;1500;Tak;Budowa brakuj¹cego przejœcia dla pieszych przez ul Komandorsk¹, na wysokoœci ul. Pabianickiej i Radosnej
487;"ul. Krajewskiego 1, 51-690 Wroc³aw, dzia³ka nr 77/2 AM 2 obrêb Sêpolno
";Biskupin-Sêpolno-D¹bie-Bartoszowice;edukacja;1690000;Tak;KONCEPCJA ZESPO£U SPORTOWO-REKREACYJNEGO NA TERENIE ZESPO£U SZKÓ£ NR 9 PRZY UL. KRAJEWSKIEGO 1 WE WROC£AWIU
488;"ul. NiedŸwiedzia 26-28
54-233 Wroc³aw
Obrêb: Popowice
Arkusz: 11
nr dzia³ki: 14/2 i 14/3";Pilczyce-Kozanów-Popowice P³n.;edukacja;463000;Tak;"""ROZBRYKANE MISIE""- budowa placu zabaw na ""Misiowej Polanie"" na terenie Przedszkola nr 104 przy ul. NiedŸwiedziej 26-28 we Wroc³awiu"
489;"obrêb Po³udnie AR 28 nr dzia³ek : 52/15, 57/5,42,3,  42,4 , 42/1 i 60 oraz AR 19 nr dzia³ki 38/1.
  ";Huby;rewitalizacja;500000;Tak;Rewitalizacja terenu  podwórkowego  pomiêdzy ulicami : Lnian¹,  Hubsk¹ i Wapienna oraz koœcio³em im. Œw. Stanis³awa Kostki u. Hubska 91
490;Ró¿ne dzia³ki, nieu¿ytki w³asnoœci gminnej, oddalone od dróg i bez planu na inwestycje w najbli¿szym czasie;Wroc³aw;zieleñ/rekreacja;145000;Tak;Zasadzenie 2000 drzewek i krzewów owocowych na wroc³awskich nieu¿ytkach
491;Krzyki, AR_9, 23;Krzyki-Partynice;zieleñ/rekreacja;470850;Nie;KRZYKI AKTYWNIE: REKREACJA, ZABAWA i SPORT nad Œlêz¹. Miejsce wypoczynku dla ca³ych rodzin – ogród zabaw, stanowiska piknikowe, teren zielony do gier i zabaw na œwie¿ym powietrzu (bulodrom, boisko do siatkówki, badminton
492;ul. Su³owska (na ca³ej d³ugoœci od Ronda Obroñców Grodna do mostu Widawskiego);Widawa;inne;2000000;Tak;Poprawa bezpieczeñstwa oraz estetyki na ulicy Su³owskiej poprzez budowê chodników, œcie¿ki rowerowej oraz przebudowê skrzy¿owania z ulic¹ Ksiêgarsk¹.
493;Osiedle Brochów;Brochów ;zieleñ/rekreacja;30750;Tak;Ratujmy Kasztany na Brochowie - Ochrona Kasztanowców
