Nr projektu;Lokalizacja projektu;Nazwa osiedla;Kategoria projektu;Suma kosztów;Wszystkie opinie;Nazwa projektu
296;"Przedszkole Nr 113 ,,Akademia Przedszkolaka"" 54-155 Wroc³aw ul. Lotnicza 22
dzia³ka AM obrêb G¹dów Ma³y 10/9; 10/14; 10/ 15; 10/17";G¹dów-Popowice P³d. ;edukacja;221025;Tak;Osiedlowy teren zajêæ korekcyjno-kompensacyjny dla dzieci, modernizacja ci¹gu komunikacyjnego od ul. Lotniczej 22 oraz wykonanie ekologicznego parkingu 
297;026401-1.0042.AR-14.7/5;G¹dów-Popowice P³d. ;edukacja;152703;Tak;WESO£A GROMADKA PRZYJAZNA WSZYSTKIM  MA£YM OBYWATELOM
298;"AM 14 dz. 2, 4, 
teren pomiêdzy podstaw¹ wa³u przeciwpowodziowego a rzek¹ Odr¹";Szczepin;zieleñ/rekreacja;500000;Tak;Rewitalizacja Odrzañskich miejsc wypoczynku. Uporz¹dkowanie i zagospodarowanie nadodrzañskich terenów rekreacyjnych w obrêbie osiedla Szczepin.
299; Boya-¯eleñskiego od Berenta do Orkana - chodniki, trawniki i miejsca postojowe;Kar³owice-Ró¿anka;piesze/rowerowe;60000;Tak;Chodnik na Boya-¯eleñskiego od Berenta do Orkana
300;Strachowice, AR_7,7/4;Jerzmanowo - Jarno³tów -Strachowice - Osiniec;place zabaw;500000;Nie;Kolorowa Rdestowa 
301;"Zalesie, AR_1, 1/2 ; 
Kana³owa, 51-613 Wroc³aw, Polska
œcie¿ka pieszo-rowerowa pomiêdzy mostem Swojczyckim a œluz¹ Zacisze
";Zacisze-Zalesie-Szczytniki;zieleñ/rekreacja;2000;Nie;3 £awki na wa³ach 
302;"Zalesie, AR_1, 1/2 ; 
Kana³owa, 51-613 Wroc³aw, Polska
œcie¿ka pieszo-rowerowa pomiêdzy mostem Swojczyckim a œluz¹ Zacisze
";Zacisze-Zalesie-Szczytniki;zieleñ/rekreacja;2000;Tak;£awka na wa³ach od strony Zalesia
303;"TEREN ZESPO£U SZKÓ£ NR 15 WE WROC£AWIU, UL. CHOPINA 9B 
ZALESIE AR_4,2";Zacisze-Zalesie-Szczytniki;edukacja;145000;Tak;AKTYWNIE NA CHOPINA
304;Ulica Nasypowa;Powstañców Œl¹skich;piesze/rowerowe;7000;Tak;Bezpieczeñstwo pieszych i rowerzystów na w³¹czeniu ulicy Nasypowej w Powstañców Œl¹skich
305;Park Juliusza S³owackiego,  Las Osobowicki,   Park Tysi¹clecia, Park Grabiszyñski, Park Zachodni, Park Po³udniowy, Park Szczytnicki;Wroc³aw;zieleñ/rekreacja;94500;Nie;7 grzechów g³ównych - rzeŸby plenerowe do parków Wroc³awskich
306;Stadion Olimpijski, Zalesie, AR_6, 1/2,  Wspó³w³asnoœæ Gminy i innych osób prawnych;Zacisze-Zalesie-Szczytniki;inne;50000;Nie;Odtworzenie dawnego pomnika Zwyciêzcy na Stadionie Olimpijskim
307;Litewska AR 24 dzia³ka 23/17;Psie Pole-Zawidawie;zieleñ/rekreacja;90000;Tak;budowa si³owni zewnêtrznej typu outdoor fitness
308;chodnik na terenie gminy, przy ulicy Œlicznej 25-27;Huby;piesze/rowerowe;860;Tak;Parking rowerowo-skuterowy przy ulicy Œlicznej
309;Ulica Sienkiewicza;Nadodrze, O³bin, granice wroc³awskich osiedli;piesze/rowerowe;72000;Tak;Zabezpieczenie chodnika i zieleni miejskiej na Œródmieœciu - Ulice Sienkiewicza, Dmowskiego, Pomorska
310;"Chodnik przy ulicy Piêknej prowadz¹cy do koœcio³a przy skrzy¿owaniu z ulic¹ Bardzk¹ 
nr 2/9; AM-5 ; Obrêb:Gaj
nr 80/2; AM-29 ; Obrêb: Po³udnie
";Tarnogaj;piesze/rowerowe;64200;Tak;Zwiêkszenie bezpieczeñstwa mieszkañców poprzez remont i oœwietlenie chodnika przy ulicy Piêknej
311;ul. Stalowa,  Grabiszyn, AR_11, 8/31;Gajowice ;place zabaw;500000;Tak;Plac zabaw dla dzieci m³odszych i starszych.
312;Osobowice, ul.Osobowicka, DW327, AR-22, AR-20;Osobowice - Rêdzin;inne;83000;Tak;Oœwietlenie przy Osobowickiej
313;Ulica Stodolna, miasto Wroc³aw,  obrêb ewidencyjny 0035- Maœlice , dzia³ka geodezyjna nr 47 AM 12, o pow. 0,1582 ha, WR1K/00260947/0 ;Maœlice;drogowe;420000;Tak;Modernizacja ulicy Stodolnej - budowa ci¹gu pieszo - jezdnego 
314;skrzy¿owanie Kosmonautów z Starogajow¹ i ulic¹ Kamiennogórsk¹;Leœnica;drogowe;700000;Tak;Sygnalizacja œwietlna na skrzy¿owaniu ulicy Kosmonautów z ulic¹ Starogajow¹ i ulic¹ Kamiennogórsk¹
315;ul. Jerzego Kowalskiego, Nazwa obrêbu: Oporów (Wroc³aw), Numer arkusza mapy: 8, Numer dzia³ki: 289;Oporów;drogowe;150000;Tak;Budowa drogi z kostki brukowej betonowej wraz z chodnikiem na odcinku ulicy Kowalskiego we Wroc³awiu
316;AR_2 27/27, AR_2 28/1, AR_2 29;Jagodno;drogowe;96600;Tak;Budowa brakuj¹cego odcinka drogi tymczasowej w ulicy Schuberta na pó³noc od skrzy¿owania z ulic¹ Brahmsa 
317;Promenada Staromiejska, numer dzia³ki Stare Miasto, AR_33, 5/6 ;Stare Miasto;inne;275000;Nie;Pomnik Romana Dmowskiego
318;"Ksiê¿e Ma³e, AR_6, 13;  Ksiê¿e Ma³e, AR_7, 6   (w³asnoœæ Gminy w zarz¹dzie i u¿ytkowaniu) 
Ksiê¿e Ma³e, AR_7, 24/2;  Ksiê¿e Ma³e, AR_7, 25/2  (w³asnoœæ Gminy w zarz¹dzie i u¿ytkowaniu)";Ksiê¿e;zieleñ/rekreacja;40700;Nie;Rewitalizacja otoczenia pêtli tramwajowej na Ksiê¿u Ma³ym
319;Parki: Szczytnicki, na Biskupinie, Skowroni, Andersa, Wschodni, Po³udniowy, Brochowski, Leœnicki, Z³otnicki, Kar³owicki, Zachodni, Popowicki, To³py. Lasy: Osobowicki, przy ul. Lipskiej, So³tysowicki;Wroc³aw;inne;60000;Nie;BUDKI LÊGOWE DLA PTAKÓW we wroc³awskich parkach i lasach.
320;18/3 ul. Krzycka Wroc³aw;Krzyki-Partynice;drogowe;250000;Tak;bezpieczna droga
321;"Numer geodezyjny dzia³ki: 4, 10/42, 10/29, 13 i inne; arkusz mapy AM-3; obrêb Kleczków; M. Wroc³aw";Wroc³aw;inne;185000;Nie;Nowa linia autobusowa przebiegaj¹ca przez osiedle O³bin i Kleczków
322;"Ksiê¿e Ma³e, AR_7, 23;   Ksiê¿e Ma³e, AR_7, 24/2 
Ksiê¿e Ma³e, AR_7, 34
Ksiê¿e Ma³e, AR_7, 29/1;  Ksiê¿e Ma³e, AR   (w³asnoœæ Gminy w zarz¹dzie i u¿ytkowaniu)";Ksiê¿e;inne;102857;Tak;Bezpieczne otoczenie przedszkola na Ksiê¿u Ma³ym
323;ul. Piwna 14 nr dzia³ki 49 i 54/1;Plac Grunwaldzki;edukacja;586000;Tak;Plac zabaw  sportowo-rekreacyjny zlokalizowany na terenie Przedszkola 79
324;Teren po³o¿ony miêdzy ulic¹ Królewieck¹ a lini¹ kolejow¹ relacji Wroc³aw-Wo³ów, pocz¹wszy od rzeki £ugowiny do zabudowañ sklepu Biedronka (obrêb Maœlice, Pilczyce);Maœlice;zieleñ/rekreacja;0;Nie;Kompleksowe zagospodarowanie terenu po³o¿onego wzd³u¿ ulicy Królewieckiej - PARK MAŒLICKI
325;Teren po³o¿ony miêdzy ulic¹ Królewieck¹, a zabudowaniami ulicy Noteckiej i lini¹ kolejow¹ relacji Wroc³aw-Wo³ów, pocz¹wszy od obwodnicy autostradowej Wroc³awia do zabudowañ sklepu Biedronka (obrêb Maœlice, Pilczyce);Maœlice;zieleñ/rekreacja;0;Nie;Kompleksowe zagospodarowanie terenu po³o¿onego wzd³u¿ ulicy Królewieckiej - PARK MAŒLICKI
326;Przedszkole Nr 141, ul. Aleja Genera³a Józefa Hallera 77A, dzia³ka Nr 51/12, AM 18, obrêb 28 - Grabiszyn;Gajowice ;edukacja;50000;Tak;Modernizacja tarasu edukacyjnego Przedszkola Nr 141 
327;Ul. Przewioœnie AM-19, dzia³ka 9/2, ulica;Paw³owice;zieleñ/rekreacja;460000;Nie;Budowa parku rekreacyjno-sportowego na ulicy Przedwioœnie
328;Dzia³ka geodezyjna 24, AM-5, obrêb Ksiê¿e Ma³e.;Ksiê¿e;edukacja;640000;Tak;Budowa boiska przy Szkole Podstawowej nr 99 we Wroc³awiu
329;"AR_12,5/14
AR_11,106
AR_12,75";Kar³owice-Ró¿anka;drogowe;1210000;Tak;Sygnalizacja œwietlna na skrzy¿owaniu ulic Obornickiej i Bezpiecznej
330;"Przedszkole Nr 91 ""Nasz Domek"",  ul. Zaporoska 52A, 53-416 Wroc³aw, 
dzia³ka Nr 2, AM 35, obrêb 22 - Po³udnie";Powstañców Œl¹skich;edukacja;100000;Tak;OGRODZENIE WYDARZENIE - dla Przedszkola 91, sasiadów i nie tylko !
331;S³up elektryczny przy ul. Kowalska 90;Kowale;drogowe;18000;Tak;RADAR na ul. Kowalskiej
332;ul. Wieczysta 105, 50-550 Wroc³aw, numer geodezyjny dzia³ki: Gaj, AR_1, 5/25, Gaj, AR_1, 5/42 i Gaj, AR_1, 1/8;Huby;edukacja;236218;Tak;Renowacja i dostosowanie boiska do pi³ki koszykowej oraz badmintona na terenie ZS-P nr 17
333;Plac Grunwaldzki AR_6,18;O³bin;edukacja;49124;Tak;Bezpieczne ogrodzenie placu zabaw
334;"Dzia³ki w rejonie ul. Kukuczki i Uznañskiego: Gaj, AR_14, 73/3; Gaj, AR_14, 68; Gaj, AR_14, 69; ";Gaj;sport;480000;Nie;KUKUCZKI SPORTLOVE - Boisko wielofunkcyjne ze sztuczn¹ nawierzchni¹ 25 x 45 m przy ul. Kukuczki
335;Nowy Dwór, AR_9, 21/17;Nowy Dwór , Muchobór Ma³y;piesze/rowerowe;495000;Nie;Wypo¿yczalnia Rowerów Miejskich na osiedlu  Nowy Dwór + Muchobór Ma³y 
336;Sêpolno, AR_3, 99/25;Biskupin-Sêpolno-D¹bie-Bartoszowice;piesze/rowerowe;491000;Nie;Rower Miejski dla AWF-u i i Wielkiej Wyspy
337;"Park im. Œw. Edyty Stein przy rogu ul. Nowowiejskiej i Kardyna³a Stefana Wyszyñskiego 
AR_14,81";O³bin;zieleñ/rekreacja;20490;Nie;Piêkny zak¹tek dla turystów i mieszkañców
338;Gaj, AR_10, 21/1;Huby, Gaj;piesze/rowerowe;494000;Nie;Rower Miejski dla Gaju i Hub 
339;Teren znajduj¹cy siê na Krzykach, na osiedlu Huby, przy ul. Œlicznej (w pobli¿u al. Armii Krajowej), na dzia³kach 5/31 i 5/35 AM-1 obrêb Gaj we Wroc³awiu o ³¹cznej powierzchni ok. 6850 m2.;Huby;zieleñ/rekreacja;1247046;Nie;ŒLICZNA - oaza rekreacji na Krzykach
340;Park Popowicki nr dzia³ki 3/5 ;Pilczyce-Kozanów-Popowice P³n.;place zabaw;131749;Tak;WSPINAJ SIÊ PO ZDROWIE - linowy plac zabaw w Parku Popowickim
341;Po³udnie, Ar_10, 15/1;Przedmieœcie O³awskie;zieleñ/rekreacja;50815;Tak;Si³ownia pod chmurk¹. Wiêckowskiego - Koœciuszki - Œwistackiego (Przedmieœcie O³awskie)
342;Paw³owicka AR_9 Nr dzia³ki 52/1;Paw³owice;drogowe;15000;Tak;Utwardzenie drogi gminnej 
343;Paw³owicka AR_9 Nr dzia³ki 52/1;Paw³owice;inne;135000;Tak;BRAK WODY WE WROC£AWIU - Sieæ wodoci¹gowa przy ulicy Paw³owickiej we Wroc³awiu
344;Paw³owicka AR_9 Nr dzia³ki 52/1;Paw³owice;inne;145000;Tak;Oœwietlenie drogi gminnej Paw³owickiej na Paw³owicach
345;"Szko³a Podstawowa Nr 78 im. Miko³aja Kopernika we Wroc³awiu ul. Jednoœci Narodowej 195 , 50-303 Wroc³aw;
Plac Grunwaldzki, AR_10, 69";O³bin;edukacja;89443;Tak;Oœwietlenie boiska Szko³y Podstawowej Nr 78 we Wroc³awiu
346;STARE MIASTO AR_27, 23/2;Stare Miasto;edukacja;98000;Tak;Rewitalizacja terenu sportowego Gimnazjum nr 29
347;Wroc³aw ul. Mi³oszycka oraz Kowalska;Strachocin-Swojczyce-Wojnów, Kowale;piesze/rowerowe;2000000;Tak;Budowa œcie¿ki rowerowej oraz chodnika wzd³u¿ ulic Mi³oszyckiej i Kowalskiej
