478,4666
39,3355
487,2968
45,1143
136,695
573,550
257,503
339,367
53,361
1,271
243,242
144,230
328,221
553,192
557,182
393,173
572,172
170,163
427,157
646,156
176,149
25,136
407,105
329,105
49,89
514,86
626,85
412,70
608,66
813,66
207,66
182,63
175,62
576,55
512,51
146,47
3,43
658,43
115,42
50,41
788,34
171,34
325,33
549,32
566,31
685,30
442,27
164,26
158,21
354,21
294,19
79,19
258,17
679,17
96,15
628,14
445,13
305,13
693,10
72,10
7,9
598,9
816,8
556,8
479,8
610,8
350,8
454,8
542,8
91,7
448,7
154,7
783,6
648,6
347,6
196,6
6,5
708,5
461,4
594,4
510,4
54,4
156,4
464,4
625,3
405,3
126,3
131,3
97,3
498,3
140,2
163,2
9,2
778,2
284,2
221,2
361,2
199,1
76,1
615,1
396,1
686,1
541,1
726,1
200,1
555,1
358,1
606,1
802,1
637,1
