,0,1
469,399.0,281.0
471,2.0,130.0
472,4.0,24.0
474,15.0,25.0
475,8.0,28.0
476,31.0,79.0
478,916.0,1343.0
479,2.0,27.0
480,2.0,68.0
481,15.0,198.0
485,4.0,210.0
486,0.0,19.0
487,2265.0,1877.0
489,90.0,293.0
490,13.0,118.0
491,27.0,606.0
492,0.0,11.0
493,4.0,78.0
494,26.0,219.0
495,0.0,3.0
496,30.0,212.0
497,2.0,43.0
498,17.0,130.0
501,3.0,17.0
502,2.0,53.0
504,7.0,77.0
505,2.0,29.0
506,3.0,27.0
507,44.0,627.0
508,91.0,190.0
509,11.0,81.0
510,14.0,147.0
511,6.0,21.0
512,28.0,88.0
513,2.0,30.0
514,7.0,44.0
515,1.0,18.0
516,2.0,27.0
519,354.0,284.0
520,0.0,81.0
524,14.0,122.0
526,0.0,61.0
528,1.0,7.0
530,0.0,1.0
531,9.0,15.0
532,1.0,3.0
533,0.0,2.0
534,1.0,25.0
538,0.0,7.0
540,7.0,47.0
541,3.0,27.0
542,6.0,49.0
543,3.0,134.0
546,41.0,143.0
547,8.0,41.0
549,11.0,116.0
553,4.0,147.0
555,0.0,15.0
556,5.0,96.0
557,43.0,99.0
560,192.0,602.0
561,5.0,47.0
563,3.0,15.0
565,19.0,131.0
566,84.0,251.0
570,88.0,266.0
571,9.0,64.0
572,55.0,414.0
573,37.0,80.0
576,10.0,109.0
577,3.0,25.0
578,7.0,124.0
579,5.0,86.0
580,1.0,16.0
584,9.0,52.0
587,2.0,14.0
588,7.0,45.0
590,43.0,335.0
593,3.0,38.0
594,6.0,16.0
596,1096.0,70.0
598,17.0,316.0
599,0.0,12.0
600,14.0,18.0
601,10.0,126.0
606,1.0,11.0
608,16.0,124.0
609,6.0,13.0
610,36.0,255.0
611,10.0,94.0
612,5.0,28.0
614,10.0,107.0
615,2.0,28.0
616,365.0,1143.0
617,49.0,496.0
618,1085.0,2838.0
619,12.0,14.0
620,2.0,19.0
621,3.0,29.0
622,16.0,74.0
623,5.0,107.0
624,5.0,51.0
625,3.0,110.0
626,1352.0,1632.0
627,34.0,88.0
628,22.0,131.0
629,1.0,23.0
632,1.0,31.0
635,38.0,62.0
637,1.0,13.0
640,1.0,14.0
641,3.0,18.0
646,7.0,125.0
647,42.0,171.0
648,17.0,151.0
649,6.0,64.0
655,16.0,152.0
656,1.0,52.0
658,8.0,77.0
659,10.0,15.0
660,4.0,69.0
661,14.0,82.0
662,28.0,235.0
666,14.0,30.0
667,4.0,169.0
668,4.0,15.0
669,0.0,26.0
670,6.0,50.0
671,24.0,171.0
674,20.0,195.0
676,17.0,186.0
679,46.0,229.0
681,17.0,100.0
682,9.0,161.0
683,11.0,57.0
684,7.0,76.0
685,2.0,36.0
686,1.0,7.0
687,1.0,38.0
688,3.0,97.0
689,28.0,220.0
690,7.0,75.0
692,0.0,9.0
693,0.0,18.0
694,1.0,12.0
695,2.0,11.0
696,9.0,138.0
698,0.0,16.0
699,59.0,162.0
700,1.0,12.0
701,9.0,124.0
702,11.0,22.0
703,5.0,83.0
704,0.0,8.0
705,20.0,181.0
706,43.0,113.0
707,2.0,23.0
708,7.0,177.0
709,14.0,243.0
713,0.0,6.0
714,3.0,70.0
715,12.0,128.0
716,32.0,67.0
718,2.0,63.0
719,61.0,200.0
721,7.0,57.0
723,3.0,44.0
726,9.0,59.0
728,6.0,124.0
730,12.0,110.0
733,15.0,121.0
734,4.0,21.0
735,72.0,340.0
736,3.0,34.0
738,2.0,17.0
739,8.0,158.0
740,13.0,58.0
742,4.0,43.0
743,102.0,118.0
744,184.0,381.0
745,34.0,34.0
746,11.0,127.0
747,77.0,80.0
749,407.0,883.0
750,1.0,23.0
752,39.0,446.0
758,0.0,4.0
759,2.0,41.0
760,1.0,20.0
761,3.0,36.0
